epoch,loss,lr,tonal_r,same_sim,diff_sim,sim_gap,sil_h_event
1,121.709185,3.00e-05,,,,
2,84.333791,2.99e-05,,,,
3,68.866810,2.98e-05,,,,
4,63.575742,2.97e-05,,,,
5,57.879591,2.95e-05,-0.6351,0.9667,0.9285,0.0382,-0.2532
6,53.875115,2.93e-05,,,,
7,50.663901,2.90e-05,,,,
8,51.391010,2.87e-05,,,,
9,50.111062,2.84e-05,,,,
10,48.389668,2.80e-05,-0.6491,0.9628,0.9334,0.0294,-0.2292
11,43.819105,2.76e-05,,,,
12,43.743509,2.71e-05,,,,
13,43.957996,2.67e-05,,,,
14,42.598220,2.61e-05,,,,
15,40.408800,2.56e-05,-0.6450,0.9658,0.9463,0.0195,-0.2970
16,40.641459,2.50e-05,,,,
17,39.445315,2.44e-05,,,,
18,39.639373,2.38e-05,,,,
19,40.617304,2.32e-05,,,,
20,37.761912,2.25e-05,-0.6424,0.9674,0.9367,0.0307,-0.2410
21,39.415520,2.18e-05,,,,
22,37.302129,2.11e-05,,,,
23,38.004839,2.04e-05,,,,
24,37.042590,1.96e-05,,,,
25,36.062053,1.89e-05,-0.6384,0.9678,0.9475,0.0203,-0.1669
26,35.824020,1.81e-05,,,,
27,34.784624,1.73e-05,,,,
28,35.186776,1.66e-05,,,,
29,35.214916,1.58e-05,,,,
30,33.779228,1.50e-05,-0.6844,0.9700,0.9518,0.0181,-0.1204
31,32.878603,1.42e-05,,,,
32,32.854341,1.34e-05,,,,
33,33.039296,1.27e-05,,,,
34,32.146444,1.19e-05,,,,
35,31.868200,1.11e-05,-0.6593,0.9717,0.9537,0.0180,-0.1708
36,32.700009,1.04e-05,,,,
37,32.097684,9.62e-06,,,,
38,31.170463,8.90e-06,,,,
39,31.202779,8.19e-06,,,,
40,32.961258,7.50e-06,-0.6383,0.9698,0.9459,0.0239,-0.1494
41,32.544185,6.83e-06,,,,
42,30.846913,6.18e-06,,,,
43,32.566218,5.56e-06,,,,
44,31.290250,4.96e-06,,,,
45,31.176422,4.39e-06,-0.6769,0.9696,0.9457,0.0239,-0.1983
46,30.805574,3.85e-06,,,,
47,30.970611,3.34e-06,,,,
48,30.858261,2.86e-06,,,,
49,30.258549,2.42e-06,,,,
50,30.139495,2.01e-06,-0.6760,0.9756,0.9585,0.0171,-0.1300
51,29.711189,1.63e-06,,,,
52,29.660009,1.30e-06,,,,
53,29.562806,9.96e-07,,,,
54,29.574910,7.34e-07,,,,
55,30.535726,5.11e-07,-0.6417,0.9775,0.9561,0.0215,-0.1541
56,31.273006,3.28e-07,,,,
57,29.821553,1.85e-07,,,,
58,31.657912,8.22e-08,,,,
59,29.491146,2.06e-08,,,,
60,29.584943,0.00e+00,-0.7045,0.9781,0.9535,0.0246,-0.0936
